latitude,longitude,vehicle_count,congestion_level,co2_emissions_g_per_km
18.507854011884735,73.87090316461543,380,0.16,297.5
18.56547143064099,73.8151139964995,305,0.91,130.6
18.54359939418114,73.82286287140947,292,0.82,252.5
18.530265848419702,73.89655541885271,388,0.95,113.7
18.486001864044244,73.86734290596597,81,0.73,220.4
18.485999452033617,73.80761970516167,103,0.61,240.1
18.47620836121682,73.8168471542866,387,0.42,198.9
18.557017614577493,73.87305017691081,236,0.93,167.9
18.53051150117432,73.80720615838463,361,0.87,153.0
18.541207257779604,73.82278080514175,416,0.05,137.2
18.472458449429578,73.86157337893667,206,0.03,282.4
18.5673909852162,73.87588951976927,38,0.38,257.7
18.55364426408004,73.87189612595026,196,0.81,291.3
18.491633911067826,73.82912693094606,119,0.99,81.1
18.48858249672071,73.87791792213476,415,0.15,232.7
18.488740450985343,73.83042490874968,464,0.59,284.6
18.500824224295954,73.83923996981594,252,0.38,95.3
18.52287564316322,73.8813491405118,422,0.97,66.6
18.513594501864212,73.87166328990473,95,0.84,235.3
18.499522914019803,73.89162234104943,284,0.84,193.6
18.531585289472236,73.87246128923003,474,0.47,260.5
18.4843493860652,73.86353086033355,303,0.41,84.9
18.499614464853522,73.81606747678282,225,0.27,248.8
18.50703618432937,73.84347158030594,242,0.06,100.4
18.5160069984217,73.83322023676817,403,0.86,90.9
18.5489175961393,73.83109896433791,71,0.81,91.1
18.490367378215833,73.90400105547525,358,1.0,253.6
18.52182344384136,73.84600977246669,386,1.0,216.3
18.529641456886203,73.89590465551771,163,0.56,180.8
18.475045041271997,73.86981386259973,392,0.77,139.7
18.531154485190143,73.88618113035417,88,0.94,269.3
18.48745241236873,73.85696370931052,118,0.85,148.1
18.476905159298525,73.86439038846264,415,0.25,254.1
18.56528855372533,73.85595176938189,44,0.45,159.8
18.566963203307456,73.8262242987798,455,0.13,144.2
18.551239734811645,73.87894521152616,398,0.95,165.7
18.500861376917335,73.8347772362441,488,0.61,125.3
18.480167211400637,73.80913159664316,72,0.23,236.9
18.538823302651213,73.87124722959072,170,0.67,175.7
18.514415249373958,73.8244110679407,163,0.62,108.1
18.482603823484478,73.9007458584353,76,0.36,274.9
18.519917691011127,73.90209285770027,58,0.11,146.0
18.47383885211152,73.89818643902206,128,0.67,185.9
18.561332040207876,73.84371587002555,200,0.52,276.6
18.49627799816,73.80824566165289,61,0.77,206.1
18.536652228435397,73.89953185625878,205,0.52,79.2
18.50157110760894,73.84951841483173,442,0.85,285.0
18.52240680211778,73.90336548190437,417,0.55,206.9
18.525071027934327,73.90306199770893,242,0.56,133.7
18.48888544555255,73.89200094554674,141,0.88,84.8
18.567358462776454,73.83614488920696,152,0.4,248.5
18.54791328233611,73.8452097728602,182,0.13,205.0
18.56434989415642,73.8918136671517,234,0.03,183.4
18.559882735042763,73.83839220051563,240,0.76,273.5
18.530189997881106,73.82364927466861,254,0.62,247.1
18.56258742350231,73.86238012624584,350,0.7,87.9
18.47924925020519,73.90031547741609,165,0.21,127.9
18.489998286241914,73.8763029796675,258,0.14,112.1
18.474922728891052,73.86370611700895,95,0.01,236.0
18.502933033076324,73.81641764937709,28,0.35,58.4
18.509267728968947,73.86820072266993,93,0.59,192.5
18.49753490317739,73.90570538501044,461,0.39,240.6
18.553273750915192,73.82070840152366,420,0.44,269.2
18.506075332669358,73.85853296523638,272,0.9,135.5
18.498493450968738,73.8944373071928,249,0.35,255.3
18.524669608315822,73.88077686177543,26,0.51,77.7
18.484492422497475,73.87640157409953,193,0.78,261.6
18.5506196980754,73.87694840839872,160,0.4,81.9
18.477855064367976,73.84264911512197,187,0.62,149.3
18.56908869366005,73.83605918442645,189,0.86,249.3
18.547624476929663,73.88763611554785,412,0.95,87.5
18.490271568153418,73.88771133946793,453,0.15,107.3
18.47095221171236,73.89340723185802,302,0.93,230.6
18.55194614284548,73.89802405525565,141,0.49,230.0
18.54108573438476,73.8578342398861,213,0.26,210.3
18.543300716804097,73.85685162946872,24,0.46,223.5
18.547527034668594,73.88652951789668,48,0.98,185.7
